Rank,Title,Year,Runtime,Certificate,Rating,URL
Batman,Begins,2005,2h 20m,12A,"8.2
 (1.7M)",https://www.imdb.com/title/tt0372784/?ref_=chttp_t_135
Jurassic,Park,1993,2h 7m,PG,"8.2
 (1.2M)",https://www.imdb.com/title/tt0107290/?ref_=chttp_t_136
For,a Few Dollars More,1965,2h 12m,15,"8.2
 (301K)",https://www.imdb.com/title/tt0059578/?ref_=chttp_t_137
Hamilton,,2020,2h 40m,12,"8.3
 (140K)",https://www.imdb.com/title/tt8503618/?ref_=chttp_t_138
Project,Hail Mary,2026,2h 36m,12A,"8.2
 (379K)",https://www.imdb.com/title/tt12042730/?ref_=chttp_t_139
Taxi,Driver,1976,1h 54m,18,"8.2
 (1M)",https://www.imdb.com/title/tt0075314/?ref_=chttp_t_140
Some,Like It Hot,1959,2h 1m,PG,"8.2
 (305K)",https://www.imdb.com/title/tt0053291/?ref_=chttp_t_141
There,Will Be Blood,2007,2h 38m,12A,"8.2
 (712K)",https://www.imdb.com/title/tt0469494/?ref_=chttp_t_142
The,Father,2020,1h 37m,12A,"8.2
 (247K)",https://www.imdb.com/title/tt10272386/?ref_=chttp_t_143
The,Kid,1921,58m,U,"8.2
 (146K)",https://www.imdb.com/title/tt0012349/?ref_=chttp_t_144
All,About Eve,1950,2h 18m,A,"8.2
 (150K)",https://www.imdb.com/title/tt0042192/?ref_=chttp_t_145
The,Sixth Sense,1999,1h 47m,15,"8.2
 (1.1M)",https://www.imdb.com/title/tt0167404/?ref_=chttp_t_146
Ran,,1985,2h 40m,15,"8.2
 (153K)",https://www.imdb.com/title/tt0089881/?ref_=chttp_t_147
Casino,,1995,2h 58m,18,"8.2
 (622K)",https://www.imdb.com/title/tt0112641/?ref_=chttp_t_148
The,Thing,1982,1h 49m,X,"8.2
 (529K)",https://www.imdb.com/title/tt0084787/?ref_=chttp_t_149
No,Country for Old Men,2007,2h 2m,15,"8.2
 (1.2M)",https://www.imdb.com/title/tt0477348/?ref_=chttp_t_150
Prisoners,,2013,2h 33m,15,"8.2
 (942K)",https://www.imdb.com/title/tt1392214/?ref_=chttp_t_151
Top,Gun: Maverick,2022,2h 10m,12,"8.2
 (887K)",https://www.imdb.com/title/tt1745960/?ref_=chttp_t_152
Kill,Bill: Vol. 1,2003,1h 51m,18,"8.2
 (1.3M)",https://www.imdb.com/title/tt0266697/?ref_=chttp_t_153
Pan's,Labyrinth,2006,1h 58m,15,"8.2
 (749K)",https://www.imdb.com/title/tt0457430/?ref_=chttp_t_154
Unforgiven,,1992,2h 10m,15,"8.2
 (469K)",https://www.imdb.com/title/tt0105695/?ref_=chttp_t_155
A,Beautiful Mind,2001,2h 15m,12,"8.2
 (1.1M)",https://www.imdb.com/title/tt0268978/?ref_=chttp_t_156
Howl's,Moving Castle,2004,1h 59m,U,"8.2
 (515K)",https://www.imdb.com/title/tt0347149/?ref_=chttp_t_157
The,Treasure of the Sierra Madre,1948,2h 6m,A,"8.2
 (142K)",https://www.imdb.com/title/tt0040897/?ref_=chttp_t_158
Finding,Nemo,2003,1h 40m,U,"8.2
 (1.2M)",https://www.imdb.com/title/tt0266543/?ref_=chttp_t_159
Klaus,,2019,1h 36m,PG,"8.2
 (239K)",https://www.imdb.com/title/tt4729430/?ref_=chttp_t_160
Yojimbo,,1961,1h 50m,A,"8.2
 (144K)",https://www.imdb.com/title/tt0055630/?ref_=chttp_t_161
The,Elephant Man,1980,2h 4m,AA,"8.2
 (282K)",https://www.imdb.com/title/tt0080678/?ref_=chttp_t_162
The,Great Escape,1963,2h 52m,PG,"8.2
 (278K)",https://www.imdb.com/title/tt0057115/?ref_=chttp_t_163
Demon,Slayer: Kimetsu No Yaiba Infinity Castle,2025,2h 35m,15,"8.4
 (74K)",https://www.imdb.com/title/tt32820897/?ref_=chttp_t_164
Monty,Python and the Holy Grail,1975,1h 31m,12A,"8.1
 (604K)",https://www.imdb.com/title/tt0071853/?ref_=chttp_t_165
Dial,M for Murder,1954,1h 45m,PG,"8.1
 (205K)",https://www.imdb.com/title/tt0046912/?ref_=chttp_t_166
The,Secret in Their Eyes,2009,2h 9m,18,"8.2
 (243K)",https://www.imdb.com/title/tt1305806/?ref_=chttp_t_167
Gone,with the Wind,1939,3h 58m,PG,"8.2
 (356K)",https://www.imdb.com/title/tt0031381/?ref_=chttp_t_168
"Lock,",Stock and Two Smoking Barrels,1998,1h 47m,18,"8.1
 (650K)",https://www.imdb.com/title/tt0120735/?ref_=chttp_t_169
Chinatown,,1974,2h 10m,X,"8.1
 (377K)",https://www.imdb.com/title/tt0071315/?ref_=chttp_t_170
The,Best of Youth,2003,6h 14m,R,"8.4
 (28K)",https://www.imdb.com/title/tt0346336/?ref_=chttp_t_171
V,for Vendetta,2005,2h 12m,15,"8.1
 (1.2M)",https://www.imdb.com/title/tt0434409/?ref_=chttp_t_172
Catch,Me If You Can,2002,2h 21m,12A,"8.1
 (1.2M)",https://www.imdb.com/title/tt0264464/?ref_=chttp_t_173
Inside,Out,2015,1h 35m,U,"8.1
 (921K)",https://www.imdb.com/title/tt2096673/?ref_=chttp_t_174
Trainspotting,,1996,1h 33m,18,"8.1
 (770K)",https://www.imdb.com/title/tt0117951/?ref_=chttp_t_175
Three,"Billboards Outside Ebbing, Missouri",2017,1h 55m,15,"8.1
 (610K)",https://www.imdb.com/title/tt5027774/?ref_=chttp_t_176
Dead,Poets Society,1989,2h 8m,PG,"8.1
 (658K)",https://www.imdb.com/title/tt0097165/?ref_=chttp_t_177
Rashomon,,1950,1h 28m,X,"8.1
 (197K)",https://www.imdb.com/title/tt0042876/?ref_=chttp_t_178
Harry,Potter and the Deathly Hallows: Part 2,2011,2h 10m,12A,"8.1
 (1.1M)",https://www.imdb.com/title/tt1201607/?ref_=chttp_t_179
The,Bridge on the River Kwai,1957,2h 41m,U,"8.1
 (249K)",https://www.imdb.com/title/tt0050212/?ref_=chttp_t_180
The,Wild Robot,2024,1h 42m,U,"8.2
 (229K)",https://www.imdb.com/title/tt29623480/?ref_=chttp_t_181
Barry,Lyndon,1975,3h 5m,A,"8.1
 (206K)",https://www.imdb.com/title/tt0072684/?ref_=chttp_t_182
Ben-Hur,,1959,3h 32m,A,"8.1
 (272K)",https://www.imdb.com/title/tt0052618/?ref_=chttp_t_183
Warrior,,2011,2h 20m,12A,"8.1
 (530K)",https://www.imdb.com/title/tt1291584/?ref_=chttp_t_184
Fargo,,1996,1h 38m,18,"8.1
 (789K)",https://www.imdb.com/title/tt0116282/?ref_=chttp_t_185
Hacksaw,Ridge,2016,2h 19m,15,"8.1
 (686K)",https://www.imdb.com/title/tt2119532/?ref_=chttp_t_186
Mad,Max: Fury Road,2015,2h,15,"8.1
 (1.2M)",https://www.imdb.com/title/tt1392190/?ref_=chttp_t_187
